0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.107276 -0.114626 0.031757 0.093873 -0.097106 0.027164
0.116527 -0.133707 0.036021 0.210377 -0.226126 0.062449
0.113590 -0.140342 0.036683 0.325579 -0.363331 0.098845
0.106715 -0.141529 0.035986 0.434269 -0.502288 0.134664
0.108028 -0.155202 0.038450 0.544855 -0.654926 0.172994
0.102552 -0.160129 0.038659 0.650147 -0.812641 0.211553
0.094523 -0.160046 0.037756 0.747362 -0.970462 0.249209
0.092811 -0.172327 0.039801 0.843355 -1.140617 0.288943
0.086212 -0.176546 0.039943 0.932848 -1.315086 0.328814
0.079398 -0.180525 0.040086 1.015639 -1.493667 0.368830
0.070827 -0.178932 0.039080 1.089748 -1.670834 0.407836
0.066130 -0.189040 0.040700 1.159591 -1.858330 0.448506
0.058482 -0.191806 0.040740 1.221873 -2.048804 0.489229
0.049718 -0.188315 0.039530 1.275231 -2.236035 0.528751
0.042268 -0.190165 0.039524 1.321195 -2.425317 0.568280
0.034743 -0.191683 0.039511 1.359668 -2.616271 0.607797
0.026861 -0.186650 0.038204 1.390038 -2.802323 0.645997
0.019733 -0.187701 0.038224 1.413303 -2.989518 0.684210
0.012560 -0.188595 0.038269 1.429417 -3.177685 0.722455
0.005757 -0.182360 0.036895 1.438496 -3.359682 0.759312
-0.001003 -0.182984 0.036993 1.440845 -3.542370 0.796256
-0.006849 -0.175945 0.035548 1.437110 -3.718051 0.831739
-0.013187 -0.176229 0.035666 1.427064 -3.894170 0.867349
-0.019543 -0.176080 0.035742 1.410667 -4.070366 0.903057
-0.024041 -0.167701 0.034123 1.389502 -4.238247 0.937148
-0.029799 -0.166898 0.034130 1.362546 -4.405588 0.971281
-0.034552 -0.161911 0.033289 1.330690 -4.567997 1.004569
-0.039923 -0.160587 0.033254 1.293418 -4.729268 1.037844
-0.042373 -0.151486 0.031549 1.253449 -4.881342 1.069391
-0.047195 -0.150155 0.031550 1.208639 -5.032163 1.100939
-0.052023 -0.148790 0.031577 1.159009 -5.181626 1.132499
-0.051890 -0.136623 0.029193 1.109314 -5.318488 1.161591
-0.056427 -0.136165 0.029432 1.055143 -5.454879 1.190902
-0.061099 -0.135710 0.029708 0.996369 -5.590815 1.220470
-0.065891 -0.135193 0.030012 0.932858 -5.726273 1.250331
-0.064364 -0.124019 0.027801 0.870759 -5.850177 1.277908
-0.068990 -0.124026 0.028233 0.804061 -5.974226 1.305930
-0.073612 -0.123679 0.028626 0.732734 -6.098108 1.334366
-0.076251 -0.120022 0.028251 0.658730 -6.218357 1.362422
-0.080736 -0.119249 0.028605 0.580209 -6.338018 1.390856
-0.079716 -0.111748 0.027206 0.502678 -6.449944 1.417844
-0.081973 -0.108374 0.026904 0.422910 -6.558459 1.444511
-0.086476 -0.107890 0.027375 0.338668 -6.666608 1.471653
-0.091054 -0.107194 0.027844 0.249885 -6.774167 1.499266
-0.092879 -0.103218 0.027459 0.159314 -6.877685 1.526466
